TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AltQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,0,314739180.2,314739180.2,6,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,0,7636.612,7636.612,6,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,899,_X ,"Areas, nes",0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8819.51,FALSE,8,kg,8819.51,FALSE,8819.51,FALSE,0,FALSE,0,314731543.6,314731543.6,0,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,710811,"Metals; gold, non-monetary, powder",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,2,FALSE,0,TRUE,0,FALSE,0,29.535,29.535,6,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,TRUE,710811,"Metals; gold, non-monetary, powder",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,2,FALSE,0,TRUE,0,FALSE,0,29.535,29.535,6,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8820.51,FALSE,8,kg,8820.51,FALSE,8820.51,FALSE,0,FALSE,0,314739150.7,314739150.7,0,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,8,kg,1,FALSE,1,FALSE,0,FALSE,0,7607.077,7607.077,0,FALSE,TRUE
C,M,20170101,2017,1,201701,710,ZAF,South Africa,X,Export,899,_X ,"Areas, nes",0,W00,World,H5,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8819.51,FALSE,8,kg,8819.51,FALSE,8819.51,FALSE,0,FALSE,0,314731543.6,314731543.6,0,FALSE,TRUE
C,M,20170201,2017,2,201702,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,0,211290286.1,211290286.1,6,FALSE,TRUE
C,M,20170201,2017,2,201702,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,0,11841.999,11841.999,6,FALSE,TRUE
